20170601 042300;1.287330;1.287380;1.287330;1.287360;0
20170601 042400;1.287380;1.287450;1.287330;1.287370;0
20170601 042500;1.287360;1.287380;1.287160;1.287160;0
20170601 042600;1.287160;1.287260;1.287020;1.287110;0
20170601 042700;1.287180;1.287180;1.286950;1.286990;0
20170601 042800;1.286970;1.287100;1.286650;1.286960;0
20170601 042900;1.286960;1.287840;1.286960;1.287490;0
20170601 043000;1.287480;1.287810;1.287390;1.287790;0
20170601 043100;1.287790;1.287800;1.287590;1.287590;0
20170601 043200;1.287590;1.287590;1.287380;1.287380;0
20170601 043300;1.287360;1.287600;1.287200;1.287580;0
20170601 043400;1.287610;1.287640;1.287500;1.287580;0
20170601 043500;1.287600;1.287850;1.287560;1.287590;0
20170601 043600;1.287580;1.287840;1.287560;1.287580;0
20170601 043700;1.287600;1.287730;1.287550;1.287720;0
20170601 043800;1.287720;1.287840;1.287480;1.287480;0
20170601 043900;1.287480;1.287650;1.287460;1.287650;0
20170601 044000;1.287650;1.287650;1.287270;1.287270;0
20170601 044100;1.287280;1.287460;1.287080;1.287460;0
20170601 044200;1.287490;1.287540;1.287310;1.287540;0
20170601 044300;1.287560;1.287610;1.287360;1.287480;0
20170601 044400;1.287480;1.287680;1.287390;1.287390;0
20170601 044500;1.287400;1.287560;1.287390;1.287540;0
20170601 044600;1.287550;1.287760;1.287540;1.287730;0
20170601 044700;1.287720;1.288170;1.287680;1.288160;0
20170601 044800;1.288240;1.288690;1.288200;1.288660;0
20170601 044900;1.288680;1.288930;1.288650;1.288840;0
20170601 045000;1.288760;1.288760;1.288390;1.288480;0
20170601 045100;1.288470;1.288530;1.288410;1.288420;0
20170601 045200;1.288450;1.288460;1.288240;1.288240;0
20170601 045300;1.288250;1.288570;1.288240;1.288450;0
20170601 045400;1.288430;1.288530;1.288390;1.288480;0
20170601 045500;1.288470;1.288520;1.288230;1.288340;0
20170601 045600;1.288340;1.288460;1.288250;1.288250;0
20170601 045700;1.288270;1.288390;1.288220;1.288230;0
20170601 045800;1.288250;1.288250;1.288030;1.288060;0
20170601 045900;1.288050;1.288060;1.287210;1.287210;0
20170601 050000;1.287320;1.287520;1.287220;1.287480;0
20170601 050100;1.287500;1.287550;1.286840;1.287160;0
20170601 050200;1.287170;1.287350;1.287170;1.287350;0
20170601 050300;1.287370;1.287540;1.287360;1.287500;0
20170601 050400;1.287500;1.287860;1.287360;1.287860;0
20170601 050500;1.287880;1.287940;1.287530;1.287530;0
20170601 050600;1.287520;1.287530;1.287320;1.287350;0
20170601 050700;1.287390;1.287430;1.287130;1.287130;0
20170601 050800;1.287130;1.287130;1.286820;1.286990;0
20170601 050900;1.286990;1.287020;1.286920;1.286960;0
20170601 051000;1.286960;1.287000;1.286850;1.286860;0
20170601 051100;1.286860;1.286860;1.286420;1.286860;0
20170601 051200;1.286880;1.286990;1.286850;1.286980;0
20170601 051300;1.286990;1.287080;1.286750;1.286750;0
20170601 051400;1.286760;1.286960;1.286750;1.286860;0
20170601 051500;1.286850;1.286930;1.286450;1.286450;0
20170601 051600;1.286470;1.286570;1.286200;1.286570;0
20170601 051700;1.286570;1.286570;1.285950;1.285960;0
20170601 051800;1.285960;1.286220;1.285950;1.286070;0
20170601 051900;1.286080;1.286120;1.285510;1.285630;0
20170601 052000;1.285650;1.285840;1.285320;1.285370;0
20170601 052100;1.285370;1.285450;1.285150;1.285170;0
20170601 052200;1.285240;1.285370;1.285090;1.285280;0
20170601 052300;1.285290;1.285300;1.285030;1.285030;0
20170601 052400;1.285010;1.285010;1.284790;1.284800;0
20170601 052500;1.284800;1.285190;1.284800;1.285140;0
20170601 052600;1.285120;1.285470;1.285080;1.285350;0
20170601 052700;1.285370;1.285430;1.285250;1.285360;0
20170601 052800;1.285360;1.285580;1.285330;1.285560;0
20170601 052900;1.285540;1.285880;1.285500;1.285780;0
20170601 053000;1.285780;1.285790;1.285680;1.285740;0
20170601 053100;1.285740;1.285740;1.285620;1.285710;0
20170601 053200;1.285710;1.285790;1.285470;1.285490;0
20170601 053300;1.285490;1.285720;1.285490;1.285640;0
20170601 053400;1.285630;1.285880;1.285620;1.285660;0
20170601 053500;1.285680;1.285730;1.285370;1.285450;0
20170601 053600;1.285450;1.285560;1.285320;1.285440;0
20170601 053700;1.285460;1.285590;1.285440;1.285530;0
20170601 053800;1.285530;1.285660;1.285480;1.285490;0
20170601 053900;1.285500;1.285500;1.285010;1.285210;0
20170601 054000;1.285200;1.285200;1.285070;1.285070;0
20170601 054100;1.285070;1.285250;1.284980;1.285030;0
20170601 054200;1.285030;1.285070;1.284730;1.285030;0
20170601 054300;1.285010;1.285160;1.284930;1.284990;0
20170601 054400;1.284970;1.284990;1.284890;1.284890;0
20170601 054500;1.284870;1.284880;1.284710;1.284800;0
20170601 054600;1.284810;1.284860;1.284690;1.284690;0
20170601 054700;1.284680;1.284910;1.284680;1.284690;0
20170601 054800;1.284690;1.284770;1.284160;1.284200;0
20170601 054900;1.284180;1.284350;1.284110;1.284350;0
